x1,x2,y
0.48686144945174537,0.1637557738128569,0
0.5907178783781921,0.4293194743259393,0
0.5379810974544925,0.08237368776941822,0
0.18441059835187446,0.7174038267054299,1
0.8256969845237847,0.4146695325375168,1
0.18448157651411412,0.08583760349256875,0
0.4488533704182023,0.6051269310569358,0
0.5492273243173514,0.7252990138778345,1
0.44873842302041844,0.5979043238652338,1
0.7722123016579924,0.7186146374575147,0
0.521188971220555,0.9311557357102241,1
0.6912192000806565,0.33718125442293856,0
0.5964088562281981,0.8450411053819656,0
0.92005723636875,0.04466253676156062,0
0.6526259939900362,0.19813662683987288,0
0.17672067891975274,0.6280308014839973,0
0.021734067465442486,0.7813137893378773,0
0.6429144648006311,0.340111661601313,0
0.7308160175712087,0.012806307772421754,0
0.7746928548496096,0.38286111556625746,1
0.6626018193291089,0.991219792898248,1
0.6442168390022766,0.6261480001661436,1
0.8719353163779813,0.31796810127248065,1
0.7836853993535737,0.42164855367818843,1
0.2087721035624197,0.2805562300380642,1
0.8774283736487339,0.3659053349203949,0
0.2867721250344547,0.43622828200248853,0
0.2877839710019967,0.41063049723839673,0
0.6545700476477149,0.82154980372388,1
0.6708746334795725,0.6851488578165758,0
0.10030172614403476,0.817426723421899,0
0.6860256015775646,0.8792403270984592,0
0.07319312539947931,0.36372388809927125,1
0.4189320653438908,0.8810569313840277,1
0.93660278727624,0.6935871711201903,0
0.035593277891393105,0.2924937205326268,0
0.8044874068285256,0.44732045528175857,0
0.5830063608724645,0.9539291153931475,1
0.657114101327567,0.6759807213229357,0
0.312003052743125,0.22981561219089597,0
0.625994567858416,0.7872961784689629,1
0.657808236648162,0.4609313151408394,0
0.6595841032431539,0.9497234935854534,0
0.24833579572766795,0.10994337361971318,0
0.5404199292288454,0.4784200219795901,1
0.4175282196731619,0.9979435351480365,1
0.1459439984996681,0.8357566909410391,0
0.9698767982979846,0.7127225538576387,1
0.40461000881578657,0.376165866251024,1
0.19130675402595831,0.34504737921164663,1
0.08520128056232668,0.591064199693038,0
0.15131032077474504,0.6803482324796375,1
0.8220436025004059,0.32628860552550376,0
0.5948708649685597,0.38407877299112414,0
0.4737489020637474,0.01477149540046574,1
0.6223506570160098,0.6563712459116502,0
0.41703994374813014,0.846146241336115,1
0.5149705519248867,0.5299028320447077,0
0.907838972761467,0.14253005181290423,1
0.18130511459182064,0.18278931670313403,1
0.7555220431852349,0.4337490187402654,0
0.10024233851525555,0.0826232103878658,1
0.21852875964738572,0.8162130642237208,0
0.7839158370557258,0.5593092918070104,0
0.9107942543079124,0.1393659263892263,0
0.9851953703889634,0.870277290546017,1
0.04155663299866419,0.24230458552797773,0
0.6155209715629002,0.7062825796541882,1
0.1341349462666448,0.6709526951742585,1
0.9665142389007124,0.6823805132585702,0
0.567303455314496,0.8824247102081756,1
0.01792718081843714,0.5153654927562683,0
0.8722646962452996,0.9920701892959567,1
0.2891067606424722,0.6882447913227955,0
0.05141004536729188,0.5780195749340623,0
0.009502592399330267,0.663403203103011,0
0.30803674026879124,0.08039312136846277,0
0.9305494120659135,0.32994664114957073,1
0.2301011253895603,0.6846161408058671,1
0.47249028996151543,0.10534667809382559,0
0.12028515737370515,0.1531981845666377,1
0.8697938309532749,0.9982533668258946,0
0.36490121577198065,0.7825133260901737,0
0.5784898822481703,0.2894723273376525,1
0.7453071220178372,0.2246123112353826,0
0.35307798559164305,0.7333041359859537,1
0.5045873640709531,0.8854743636467484,1
0.3938486711150556,0.3878861323392496,1
0.5332353175822696,0.9929941614080162,0
0.39926502969732014,0.13807330878895474,0
0.6051100608168286,0.8996593533155781,1
0.7118567635686742,0.47101569110095975,0
0.0898649996645533,0.7922202303948568,1
0.36714334058393416,0.6534135575483294,0
0.9146958544000606,0.4580006843301325,1
0.4972680269963716,0.13620166577290516,0
0.8199178163737645,0.33453276104274443,1
0.32838012877396805,0.980288039648917,1
0.052043440506113425,0.4896310304328082,1
0.8860682227775754,0.9300747042331315,0
